ObjectName,Left,Top,Width,Height,GraphicList,ProposedTag,PLC_Owner,Connection,DataType,CurrentMode,ProposedMode,Confidence,NearestLabel
Graphic I/O field_1,608,851,60,42,GL_Pump_ChuyenDich,Pump3362_Xa_BonChua1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_83 ('PUMP 33.62') at (608,843)"
Graphic I/O field_10,154,90,233,295,GL_BonTron_MucDich,HMI_Anim_Bon1_MucDich,PLC1,HMI_Connection_1,Int,Output,Output,100%,"Text field_28 ('LT 32.03') at (354,223)"
Graphic I/O field_11,220,429,51,78,GL_Van_NamDoc,V3234_Xa_Bon1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_46 ('V32.34') at (271,457)"
Graphic I/O field_12,533,70,51,78,GL_Van_NamDoc,V3235_Nuoc_Bon2,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_3 ('L') at (529,67)"
Graphic I/O field_13,860,69,51,78,GL_Van_NamDoc,V3245_Nuoc_Bon4,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_4 ('L') at (848,64)"
Graphic I/O field_14,1193,67,51,78,GL_Van_NamDoc,V3240_Nuoc_Bon3,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_5 ('L') at (1187,64)"
Graphic I/O field_15,556,341,51,78,GL_Van_NamDoc,V3237_Xa_Bon2,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_48 ('V32.37') at (599,371)"
Graphic I/O field_16,558,417,51,78,GL_Van_NamDoc,V3239_Xa_Bon2,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_49 ('V32.39') at (603,441)"
Graphic I/O field_17,471,394,83,47,GL_Van_NamNgang,V3238_Xa_Bon2,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_47 ('V32.38') at (489,433)"
Graphic I/O field_18,857,346,51,78,GL_Van_NamDoc,V3247_Xa_Bon4,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_50 ('V32.47') at (800,370)"
Graphic I/O field_19,1214,347,51,78,GL_Van_NamDoc,V3242_Xa_Bon3,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_53 ('V32.42') at (1164,370)"
Graphic I/O field_2,904,517,275,288,GL_BonChua_MucDich,HMI_Anim_BonChua2_MucDich,PLC1,HMI_Connection_1,Int,Output,Output,100%,"Text field_58 ('V33.38') at (977,765)"
Graphic I/O field_20,857,412,51,78,GL_Van_NamDoc,V3249_Xa_Bon4,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_51 ('V32.49') at (803,437)"
Graphic I/O field_21,1213,419,51,78,GL_Van_NamDoc,V3244_Xa_Bon3,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_54 ('V32.44') at (1157,443)"
Graphic I/O field_22,903,387,83,47,GL_Van_NamNgang,V3248_Xa_Bon4,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_52 ('V32.48') at (963,389)"
Graphic I/O field_23,1257,394,83,47,GL_Van_NamNgang,V3243_Xa_Bon3,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_55 ('V32.43') at (1317,389)"
Graphic I/O field_24,554,759,51,78,GL_Van_NamDoc,V3331_Xa_BonChua1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_64 ('V33.31') at (504,768)"
Graphic I/O field_25,672,597,51,78,GL_Van_NamDoc,V3334_DieuHuong_BonChua1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_62 ('V33.34') at (701,653)"
Graphic I/O field_26,725,757,51,78,GL_Van_NamDoc,V3335_DieuHuong_BonChua1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_61 ('V33.35') at (768,789)"
Graphic I/O field_27,725,822,51,78,GL_Van_NamDoc,V3333_DieuHuong_BonChua1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_60 ('V33.33') at (768,861)"
Graphic I/O field_28,1030,754,51,78,GL_Van_NamDoc,V3338_Xa_BonChua2,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_58 ('V33.38') at (977,765)"
Graphic I/O field_29,1191,655,51,78,GL_Van_NamDoc,V3341_Duong_Filter,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_57 ('V33.41') at (1184,653)"
Graphic I/O field_3,486,90,233,295,GL_BonTron_MucDich,HMI_Anim_Bon2_MucDich,PLC1,HMI_Connection_1,Int,Output,Output,100%,"Text field_33 ('LT 32.09') at (689,221)"
Graphic I/O field_30,467,804,83,47,GL_Van_NamNgang,V3332_Xa_BonChua1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_63 ('V33.32') at (484,848)"
Graphic I/O field_31,930,792,83,47,GL_Van_NamNgang,V3339_Xa_BonChua2,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_59 ('V33.39') at (891,797)"
Graphic I/O field_32,1346,558,83,47,GL_Van_NamNgang,V3340_Duong_Filter,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_56 ('V33.40') at (1359,537)"
Graphic I/O field_33,282,542,60,42,GL_Pump_ChuyenDich,Pump3264_Chuyen_Nhanh1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_81 ('PUMP 32.64') at (283,582)"
Graphic I/O field_34,587,792,90,71,GL_Pump_TuanHoanLoc,Pump3361_LuanChuyen_BonChua1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_82 ('PUMP 33.61') at (601,794)"
Graphic I/O field_35,1108,764,90,71,GL_Pump_TuanHoanLoc,Pump3364_Filter,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_84 ('PUMP 33.64') at (1110,765)"
Graphic I/O field_36,1123,820,60,42,GL_Pump_ChuyenDich,Pump3365_Filter,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_85 ('PUMP 33.65') at (1139,859)"
Graphic I/O field_37,1156,541,60,42,GL_Pump_ChuyenDich,Pump3265_Chuyen_Nhanh2,PLC2,HMI_Connection_2,Bool,Output,Output,100%,"Text field_86 ('PUMP 32.65') at (1149,531)"
Graphic I/O field_38,123,84,292,298,GL_Khuay_8Frame,HMI_Anim_Bon1_Frame,PLC1,HMI_Connection_1,Int,Output,Output,100%,"Text field_28 ('LT 32.03') at (354,223)"
Graphic I/O field_39,459,83,292,298,GL_Khuay_8Frame,HMI_Anim_Bon2_Frame,PLC1,HMI_Connection_1,Int,Output,Output,100%,"Text field_33 ('LT 32.09') at (689,221)"
Graphic I/O field_4,811,89,233,295,GL_BonTron_MucDich,HMI_Anim_Bon4_MucDich,PLC2,HMI_Connection_2,Int,Output,Output,100%,"Text field_35 ('LT 32.18') at (1014,218)"
Graphic I/O field_40,782,86,292,298,GL_Khuay_8Frame,HMI_Anim_Bon4_Frame,PLC2,HMI_Connection_2,Int,Output,Output,100%,"Text field_35 ('LT 32.18') at (1014,218)"
Graphic I/O field_41,1130,90,292,298,GL_Khuay_8Frame,HMI_Anim_Bon3_Frame,PLC2,HMI_Connection_2,Int,Output,Output,100%,"Text field_42 ('LT 32.13') at (1362,222)"
Graphic I/O field_5,189,70,51,78,GL_Van_NamDoc,V3230_Nuoc_Bon1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_1 ('L') at (183,66)"
Graphic I/O field_6,1160,89,233,295,GL_BonTron_MucDich,HMI_Anim_Bon3_MucDich,PLC2,HMI_Connection_2,Int,Output,Output,100%,"Text field_42 ('LT 32.13') at (1362,222)"
Graphic I/O field_7,133,396,83,47,GL_Van_NamNgang,V3233_Xa_Bon1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_45 ('V32.33') at (144,435)"
Graphic I/O field_8,220,339,51,78,GL_Van_NamDoc,V3232_Xa_Bon1,PLC1,HMI_Connection_1,Bool,Output,Output,100%,"Text field_44 ('V32.32') at (265,371)"
Graphic I/O field_9,430,521,275,288,GL_BonChua_MucDich,HMI_Anim_BonChua1_MucDich,PLC1,HMI_Connection_1,Int,Output,Output,100%,"Text field_18 ('L') at (462,715)"
